Monthdate,Amount
2013 July,394.845621
2013 August,385.285745
2013 September,340.940902
2013 October,314.925463
2013 November,314.539642
2013 December,353.021248
2014 January,377.254711
2014 February,324.348436
2014 March,331.823059
2014 April,297.630588
2014 May,324.7243
2014 June,357.844043
2014 July,385.779552
2014 August,384.341148
2014 September,339.886506
2014 October,314.521999
2014 November,317.495009
2014 December,337.956656
2015 January,360.455167
2015 February,334.475546
2015 March,324.191894
2015 April,294.133343
2015 May,322.086912
2015 June,362.409202
2015 July,400.418853
2015 August,392.116203
2015 September,350.121648
2015 October,312.11168
2015 November,300.653268
2015 December,324.427224
2016 January,352.719066
2016 February,313.685401
2016 March,304.389581
2016 April,292.89355
2016 May,316.784457
2016 June,367.781196
2016 July,411.886942
2016 August,409.700812
2016 September,351.484468
2016 October,312.945164
2016 November,297.061772
2016 December,345.342577
2017 January,344.332034
2017 February,291.049672
2017 March,319.335755
2017 April,295.360591
2017 May,323.446738
2017 June,358.522007
2017 July,404.432474
2017 August,384.73858
2017 September,335.91491
2017 October,318.669649
2017 November,308.052342
2017 December,350.415808
2018 January,373.23028
2018 February,306.894214
2018 March,321.546954
2018 April,300.75644
2018 May,338.947606
2018 June,371.885761
2018 July,411.29032
2018 August,408.027757
2018 September,356.258302
2018 October,324.931943
2018 November,322.368657
2018 December,342.139112
2019 January,359.509234
2019 February,315.026484
2019 March,326.657208
2019 April,296.662569
2019 May,330.423048
2019 June,352.988074
2019 July,410.03781
2019 August,401.429694
2019 September,360.518468
2019 October,320.351885
2019 November,315.849092
2019 December,338.401647
2020 January,341.850206
2020 February,319.550114
2020 March,309.586723
2020 April,279.583265
2020 May,304.593238
2020 June,351.74493
2020 July,409.5617
2020 August,398.279697
2020 September,333.258048
2020 October,313.531271
2020 November,301.250181
2020 December,344.346095
2021 January,350.704785
2021 February,327.824271
2021 March,312.151676
2021 April,292.469157
2021 May,318.830866
2021 June,373.67086
2021 July,404.662614
2021 August,413.949298
2021 September,348.077041
2021 October,321.061685
2021 November,315.633842
